publisher,book_summary,isbn,subcategory,title,country,price,writer,book_image_path,maincategory,publish_date,evaluation,categoryid
플랜비디자인,"메타버스의 기본 개념과 각 영역을 알기 쉽게 실제 IT서비스와 기업의 사례를 들어 소개한다. 인간에게 새로운 기회이자 흥미/재미를 제공하는 뜨는 것들의 세상으로써 메타버스를 보여준다. 반면에 현실세계의 인간에게 영향을 미칠 수 있는 부분에 대해서도 질문과 스토리를 통해 생각해볼 수 있도록 한다.",K432736724,마케팅/세일즈,"메타버스 - 디지털 지구, 뜨는 것들의 세상",국내도서,17000,"김상균 (지은이)",https://image.aladin.co.kr/product/25795/42/cover/k432736724_1.jpg,경제경영,2020-12-18,8,263
성균관대학교출판부,"새로운 지의 총화를 모색하는 성균관대학교 출판부의 학술 기획 총서 '지의 회랑'의 여섯 번째 책. '시민종교(civil religion)'라는 키워드로 한국 근현대사를 재해석해낸 이론적 연구이자 주제별 연구로서, 이에 관한 통시적.역사적 연구인 &lt;경합하는 시민종교들 : 대한민국의 종교학&gt;과 쌍을 이룬다.",K632534631,사회학,"시민종교의 탄생 - 식민성과 전쟁의 상흔",국내도서,35000,"강인철 (지은이)",https://image.aladin.co.kr/product/18005/61/cover/k632534631_1.jpg,사회과학,2019-01-30,7,51311
사월의책,"현대사회의 지칠 줄 모르는 자기 파괴에 대한 철학적 성찰. ‘사회비판총서’ 1권으로 기획된 이 책은 프랑크푸르트학파의 사상을 소개하는 동시에 그들의 테제(주장)들이 현대사회를 비판하는 데 여전히 유효한지를 묻는다. 이 질문을 통해 드러나는 것은 프랑크푸르트학파의 테제들이 바로 오늘날 한국사회의 현실을 비판하는 데 유용한 참조점이 되어준다는 것이다.",8997186213,서양철학,"프랑크푸르트학파의 테제들",국내도서,20000,"연구모임 사회 비판과 대안 (엮은이)",https://image.aladin.co.kr/product/1616/77/cover/8997186213_1.jpg,인문학,2012-04-10,9,51492
창비,"정치학자 남태현은 오랜 시간을 타지에서 살아온 이민자의 눈으로 한국사회의 망국병 영어 광풍을 날카롭게 바라본 전작 &lt;영어 계급사회&gt;를 저술한 바 있다. 저자는 정치의 참얼굴을 보기 위해서는 선거만능주의의 함정을 직시해야 한다고 주장한다.",8936485865,정치학/외교학/행정학,"왜 정치는 우리를 배신하는가 - 선거만능주의의 함정",국내도서,15000,"남태현 (지은이)",https://image.aladin.co.kr/product/3592/32/cover/8936485865_1.jpg,사회과학,2014-02-05,6,51233
열림원,"2017년 7월 12일, 저자의 탄생 200주년을 기념해 김석희의 완역판으로 새롭게 선보이는 &lt;월든&gt;이다. 소로 연구의 권위자인 월터 하딩 박사의 『주석본 월든』을 참고한 상세한 역주와 허버트 웬델 글리슨이 20세기 초 월든 호수와 그 주변을 촬영한 풍경사진을 실어 생생함을 더했다.",K152531791,외국에세이,"월든 - 우주의 건축가와 함께 나란히 걷고 싶다",국내도서,18000,"헨리 데이비드 소로우 (지은이), 김석희 (옮긴이)",https://image.aladin.co.kr/product/11254/89/cover/k152531791_2.jpg,에세이,2017-07-12,8,51373
책세상,"데이비드 리카도는 노동 가치론에 입각해 자본주의 사회를 구성하는 지주ㆍ자본가ㆍ노동자의 소득, 즉 지대ㆍ이윤ㆍ임금의 대립 관계를 분배론의 형식으로 밝혀 당시 사회의 불균형한 분배 구조를 명백히 드러냈다.",K682635585,사회사상/사회사상사,"정치경제학과 과세의 원리에 대하여",국내도서,9900,"데이비드 리카도 (지은이), 권기철 (옮긴이)",https://image.aladin.co.kr/product/18962/97/cover/k682635585_1.jpg,사회과학,2019-02-20,0,51154
비봉출판사,"자본과 노동을 중시하는 주류 경제학과 마르크스 경제학 어느 쪽에서도 주목을 끌지 못했으나，자연물인 토지의 사유를 반대하는 논리를 체계화했다는 점에서 고전적 가치를 지닌다．조지의 주장은 영국의 페이비언 사회주의 운동와 톨스토이에게 많은 영향을 미쳤다.",8937604477,사회문제,"진보와 빈곤 - 개정판",국내도서,25000,"헨리 죠지 (지은이), 김윤상 (옮긴이)",https://image.aladin.co.kr/product/8762/80/cover/8937604477_1.jpg,사회과학,2016-07-15,9,51073
플레이타임,"긴 공백기에서 돌아와 두 차례 맨부커상 최종심에 오르며 문단과 독자의 이목을 다시 사로잡은 작가 데버라 리비의 자전적 에세이. 여성이자 작가로서 삶과 언어가 맞이한 위기를 극복하고자 아파르트헤이트 시절 남아프리카공화국에서 보낸 유년기로 돌아간다.",K582534286,외국에세이,"알고 싶지 않은 것들",국내도서,12000,"데버라 리비 (지은이), 이예원 (옮긴이), 박민정",https://image.aladin.co.kr/product/17118/94/cover/k582534286_1.jpg,에세이,2018-10-10,9,51373
현대지성,"현대지성 클래식 26권. 헨리 조지의 대표작 『진보와 빈곤』의 완역본이다. 궁극적으로 빈부격차를 해소하고 함께 잘사는 사회를 만들기 위해 고심했던 헨리 조지의 사상은 오늘날에도 많은 이들에게 적절한 해결책을 제시해 줄 수 있을 것이다.",K572635102,경제학/경제일반,"진보와 빈곤 - 산업 불황의 원인과, 빈부격차에 대한 탐구와 해결책",국내도서,19800,"헨리 조지 (지은이), 이종인 (옮긴이)",https://image.aladin.co.kr/product/19225/27/cover/k572635102_1.jpg,경제경영,2019-05-23,10,8586
문학동네,"문학동네 인문 라이브러리 9권. 내셔널리즘과 파시즘, 남성성 연구의 세계적 권위자인 독일계 유대인 역사학자 조지 모스가 풍부한 전쟁 사료와 다채로운 시각 자료를 바탕으로 '전사자 숭배'와 '전쟁 경험의 신화'가 만들어지는 과정과 그 결과를 치밀하게 재구성한다.",895463575X,"세계사 일반","전사자 숭배 - 국가라는 종교의 희생제물",국내도서,20000,"조지 L. 모스 (지은이), 오윤성 (옮긴이)",https://image.aladin.co.kr/product/5603/79/cover/895463575x_1.jpg,역사,2015-03-30,10,169
